contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources,addr_2028_musd,addr_2029plus_musd,pct_2028,pct_2029plus,wavg_2026
H0571,Chinese Hospital Association,CCHP (Chinese Community Health Plan),5756,3,2.5,3.2,5.9,3.8,0.64,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.8,4.5,0.65,0.77,2.96
H2168,"Village Care of New York, Inc.",VillageCareMAX,10919,3.5,3.2,3.7,5.3,3.8,0.70,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.9,4.0,0.74,0.75,3.56
H3347,"Elderplan, Inc.",Elderplan,26603,3.5,3.5,2.9,13.0,3.7,0.29,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.0,5.2,0.31,0.40,3.24
H5273,"Point32Health, Inc.",CarePartners of Connecticut,11059,3.5,3.3,3.7,5.4,3.7,0.68,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.8,4.5,0.70,0.83,3.43
H5587,Blue Cross Blue Shield of Arizona,Blue Cross Blue Shield of Arizona Health Choice,8642,3.5,2.8,3.8,4.2,3.7,0.87,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.6,3.8,0.87,0.91,3.38
H9096,Medica Holding Company,Dean Advantage,11533,3.5,3.7,3.9,5.6,3.7,0.66,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,3.6,4.9,0.64,0.87,3.69
R6801,"UnitedHealth Group, Inc.",UnitedHealthcare,39248,3.5,3.7,2.6,19.1,3.6,0.19,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.1,5.0,0.27,0.26,3.20
H8181,Blue Cross Blue Shield of Nebraska,Blue Cross and Blue Shield of Nebraska,21759,3,3.8,3.1,22.4,3.5,0.15,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,4.0,3.5,0.18,0.15,3.22
H5410,Health Care Service Corporation,Cigna HealthCare,16030,3.5,3.4,3.2,7.8,3.4,0.43,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.9,4.4,0.50,0.56,3.45
H3748,CVS Health Corporation,Aetna Medicare,4436,3,3.1,3.6,4.6,3.2,0.71,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.5,3.9,0.76,0.85,3.32
H5087,Centene Corporation,Wellcare,13417,3.5,3.1,3.1,6.5,3.2,0.49,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.7,4.1,0.57,0.63,3.24
H5361,"Independence Health Group, Inc.",AmeriHealth,7602,2.5,2.9,2.4,7.8,3.2,0.41,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.4,4.4,0.43,0.56,2.68
H6018,"Devoted Health, Inc.",Devoted Health,8244,3.5,2.7,3.7,4.0,3.2,0.79,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.3,3.3,0.82,0.82,3.15
H2737,"Baystate Health, Inc.",Health New England Medicare Advantage Plans,4919,2.5,2.8,3.2,5.1,3.1,0.62,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.2,4.0,0.64,0.78,2.85
H8189,Centene Corporation,Wellcare by Allwell,12953,3.5,3.3,3.3,6.3,3.1,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,3.5,3.5,0.55,0.56,3.20
H1914,Centene Corporation,Wellcare,11263,3.5,2.9,3.1,5.5,3.0,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.5,4.0,0.64,0.72,3.25
H6876,"Zing Health Consolidator, Inc",Zing Health,6199,3,2.7,2.6,6.4,3.0,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.2,1.2,0.50,0.19,2.67
H0913,Centene Corporation,Wellcare,13173,3.5,3.2,3.0,6.4,2.9,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.4,3.5,0.53,0.55,3.24
H4045,SANTA CLARA COUNTY HEALTH AUTHORITY,Santa Clara Family Health Plan,11853,3.5,3.2,3.1,5.8,2.9,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.9,3.8,0.50,0.66,3.32
H5859,"CareOregon, Inc.",CareOregon Advantage,13288,3.5,3.3,3.2,6.5,2.9,0.46,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.9,4.5,0.45,0.69,3.25
H8211,"UnitedHealth Group, Inc.",UnitedHealthcare,17153,3,3.7,2.3,17.6,2.9,0.17,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.1,6.6,0.24,0.37,2.97
H8597,CVS Health Corporation,Aetna Medicare,14486,3.5,3.4,3.2,7.1,2.9,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.3,2.7,0.47,0.38,3.20
H9207,Thomas Jefferson University,Jefferson Health Plans,25870,3.5,3.8,3.2,12.6,2.9,0.23,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,4.5,0.19,0.36,3.38
H2819,California Physicians' Service,Blue Shield of California,14956,3.5,3.6,3.4,7.3,2.8,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.3,5.4,0.45,0.73,3.50
H4544,"UnitedHealth Group, Inc.",Peoples Health,8883,2.5,3.3,2.4,9.1,2.8,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.5,4.4,0.38,0.48,2.70
H8854,"CareFirst, Inc.",CareFirst BlueCross BlueShield Medicare Advantage,8387,3,3.3,2.5,8.6,2.8,0.32,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.0,3.4,0.35,0.39,2.87
H1423,"Elevance Health, Inc.",Wellpoint,3956,3,2.7,3.3,4.1,2.7,0.67,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.0,3.3,0.72,0.80,3.16
H2486,Humana Inc.,Humana,4123,3,3.0,3.5,4.2,2.7,0.65,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.9,2.8,0.70,0.68,3.21
H5843,Banner Health,Banner Medicare Advantage,7436,3.5,3.0,3.6,3.6,2.7,0.74,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,3.0,0.78,0.84,3.33
H9706,Health Care Service Corporation,Blue Cross and Blue Shield of Texas,6144,2.5,3.1,2.7,6.3,2.7,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.7,3.2,0.43,0.51,2.70
H4704,"Elevance Health, Inc.",Anthem Blue Cross Life and Health Insurance Compan,8227,2.5,3.1,1.9,8.5,2.6,0.31,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.1,4.5,0.37,0.53,2.50
H9231,"Devoted Health, Inc.",Devoted Health,7658,3.5,2.9,3.4,3.7,2.5,0.66,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.6,2.5,0.71,0.69,3.17
H3890,Johns Hopkins Healthcare LLC,Johns Hopkins Advantage MD,6849,3,3.5,3.1,7.0,2.4,0.34,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.4,3.6,0.34,0.52,3.25
H4623,Humana Inc.,Humana,11052,3.5,3.5,3.4,5.4,2.3,0.42,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,3.3,0.51,0.62,3.33
H0712,Centene Corporation,Wellcare,7196,3.5,3.1,3.5,3.5,2.2,0.64,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.4,2.7,0.70,0.77,3.36
H6851,"BMC Health System, Inc.",WellSense Health Plan,4271,3,3.0,3.0,4.4,2.2,0.51,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,2.8,0.53,0.64,3.17
H7149,CVS Health Corporation,Aetna Medicare,9347,3.5,3.5,3.5,4.6,2.2,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,2.5,1.9,0.55,0.41,3.27
H7284,Humana Inc.,Humana,11709,3.5,3.5,3.3,5.7,2.2,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,2.4,0.49,0.41,3.42
H2117,Centene Corporation,Wellcare,5247,3,3.1,2.6,5.4,2.1,0.40,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.5,3.0,0.47,0.55,2.97
H1664,Centene Corporation,Wellcare By Allwell,4067,3,2.8,2.8,4.2,2.0,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.4,2.3,0.56,0.54,2.84
H3928,CVS Health Corporation,Aetna Medicare,4929,3,3.4,3.0,5.1,2.0,0.39,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,2.2,1.7,0.43,0.33,2.89
H5580,Mercy Care,Mercy Care Advantage,10852,3,3.6,2.3,11.2,2.0,0.18,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,3.7,0.14,0.33,3.08
H6348,Centene Corporation,Wellcare By Allwell,6373,3,3.4,2.7,6.5,2.0,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.5,1.3,0.39,0.20,3.10
H3240,"Elevance Health, Inc.",Wellpoint,14405,3,3.8,2.5,14.8,1.9,0.13,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.0,2.7,0.20,0.18,3.16
H6399,CVS Health Corporation,Aetna Better Health of New Jersey,7170,3,3.5,2.5,7.4,1.9,0.26,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.4,3.0,0.32,0.41,3.11
H3080,"Devoted Health, Inc.",Devoted Health,9640,3.5,3.6,3.4,4.7,1.8,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.0,0.0,0.43,0.00,3.43
H4869,Gold Kidney Health Plan,Gold Kidney Health Plan,4844,3,3.3,2.6,5.0,1.8,0.35,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.7,1.8,0.34,0.36,2.95
H5989,"Healthfirst, Inc.",Healthfirst Medicare Plan,13716,3.5,3.6,3.0,6.7,1.8,0.28,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,3.4,0.34,0.50,3.46
H7518,Centene Corporation,Wellcare,3402,3,2.7,2.7,3.5,1.8,0.52,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.8,1.4,0.52,0.39,2.82
H9888,"Devoted Health, Inc.",Devoted Health,15557,3.5,3.7,3.1,7.6,1.8,0.24,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,1.2,0.30,0.16,3.58
H0907,"Elevance Health, Inc.",Wellpoint,4260,3,3.2,2.8,4.4,1.7,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.0,1.9,0.46,0.44,2.91
H8385,Sanford Health,Align powered by Sanford Health Plan,9033,3.5,3.8,3.7,4.4,1.7,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,2.2,0.0,0.49,0.00,3.63
H2915,Centene Corporation,Wellcare By Allwell,14783,3.5,3.7,3.1,7.2,1.6,0.22,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,1.1,0.32,0.15,3.40
H3499,Centene Corporation,Wellcare By Allwell,4065,3,3.3,2.8,4.2,1.6,0.37,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.9,1.9,0.44,0.44,3.08
H0107,Health Care Service Corporation,Blue Cross and Blue Shield of Montana,101119,3.5,4.0,3.0,49.3,1.5,0.03,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.0,12.9,0.00,0.26,3.49
H1112,Centene Corporation,Wellcare,27133,3.5,3.8,2.8,13.2,1.5,0.12,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,0.0,0.21,0.00,3.52
H1225,Johns Hopkins Healthcare LLC,Johns Hopkins Advantage MD,7639,3.5,3.6,3.4,3.7,1.5,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,2.4,0.40,0.64,3.54
H1607,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,8192,3.5,3.7,3.5,4.0,1.5,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.0,2.7,0.51,0.67,3.68
H2174,Centene Corporation,Wellcare By Trillium,4460,3,3.3,2.5,4.6,1.5,0.33,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.9,2.6,0.42,0.57,2.83
H3975,Centene Corporation,Wellcare,3810,3,3.2,2.7,3.9,1.5,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.8,1.5,0.46,0.39,2.94
H4346,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,6932,3.5,3.1,2.9,3.4,1.5,0.45,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.8,2.1,0.52,0.61,3.27
H5209,"Molina Healthcare, Inc.",My Choice Wisconsin,2671,3,2.9,3.2,2.7,1.5,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.7,2.0,0.62,0.74,3.12
H9615,"MVP Health Care, Inc.",MVP HEALTH CARE,32070,3.5,3.9,3.1,15.6,1.5,0.10,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.0,5.8,0.00,0.37,3.58
H2463,Humana Inc.,Humana,4384,3,3.5,3.0,4.5,1.4,0.32,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.9,1.9,0.43,0.43,3.12
H4835,CVS Health Corporation,Aetna Medicare,3608,3,3.4,3.0,3.7,1.4,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.7,2.1,0.45,0.56,3.15
H4909,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,10970,3.5,3.6,2.9,5.3,1.4,0.25,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.9,2.6,0.36,0.49,3.32
H5991,"EmblemHealth, Inc.",EmblemHealth,2366,3,2.7,2.9,2.4,1.4,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,1.7,0.62,0.71,2.92
R1532,Humana Inc.,Humana,3822,2.5,3.2,2.6,3.9,1.4,0.36,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.7,1.6,0.44,0.42,2.70
H0034,"Hamaspik of Rockland County, Inc.","Hamaspik, Inc.",2153,3,2.7,3.1,2.2,1.3,0.58,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.3,0.60,0.60,3.14
H1215,Centene Corporation,Wellcare,3021,3,3.3,3.1,3.1,1.3,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,1.6,0.48,0.53,3.17
H1395,Centene Corporation,Wellcare,2686,3,2.9,2.8,2.8,1.3,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.6,1.6,0.56,0.56,2.85
H6545,"Devoted Health, Inc.",Devoted Health,2585,3.5,2.7,4.4,1.3,1.3,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.3,1.00,1.00,3.32
H7199,"Devoted Health, Inc.",Devoted Health,2598,3.5,2.6,4.4,1.3,1.3,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.3,1.00,1.00,3.36
H7464,"UnitedHealth Group, Inc.",UnitedHealthcare,16920,3.5,3.8,2.8,8.2,1.3,0.16,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.1,3.6,0.25,0.44,3.33
R3444,"UnitedHealth Group, Inc.",UnitedHealthcare,4954,3,3.6,2.7,5.1,1.3,0.26,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.8,2.3,0.35,0.44,3.21
H0473,Humana Inc.,Humana,16295,3.5,3.8,2.8,7.9,1.2,0.15,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,1.9,1.7,0.24,0.21,3.30
H1894,"Elevance Health, Inc.",Wellpoint,2322,3,2.6,2.7,2.4,1.2,0.51,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.4,1.5,0.59,0.63,2.78
H2836,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,2508,3,3.2,3.1,2.6,1.2,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.4,1.8,0.55,0.68,3.06
H4073,Centene Corporation,Wellcare,6500,3.5,3.3,2.9,3.2,1.2,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,1.1,0.48,0.35,3.21
H5928,California Physicians' Service,Blue Shield of California,7880,3.5,3.6,3.2,3.8,1.2,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.4,2.0,0.37,0.53,3.54
H0111,Centene Corporation,Wellcare,5977,3.5,3.3,2.9,2.9,1.1,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.5,0.46,0.53,3.31
H2593,"Elevance Health, Inc.",Wellpoint,13319,3.5,3.7,2.5,6.5,1.1,0.17,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.1,3.3,0.32,0.51,3.28
H6550,Centene Corporation,Wellcare By Allwell,2209,3,2.9,2.8,2.3,1.1,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,0.9,0.55,0.41,2.96
H1360,"UnitedHealth Group, Inc.",UnitedHealthcare,2404,3,3.3,2.9,2.5,1.0,0.40,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.2,1.0,0.47,0.40,3.07
H5422,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,14459,3.5,3.8,2.6,7.0,1.0,0.14,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.6,0.0,0.22,0.00,3.16
H5608,Denver Health and Hospital Authority,Elevate Medicare Advantage,5080,3.5,3.7,3.5,2.5,1.0,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.0,1.6,0.40,0.62,3.54
H6847,Mass General Brigham Incorporated,Mass General Brigham Health Plan,2062,3.5,3.1,4.2,1.0,1.0,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.0,1.0,1.00,1.00,3.66
H9306,"LifeBridge Health, Inc.",Alterwood Advantage,13670,3.5,3.8,2.6,6.7,1.0,0.14,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.6,1.7,0.23,0.25,3.23
H5965,Centene Corporation,Wellcare,1598,2.5,2.3,2.5,1.6,0.9,0.54,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.0,1.0,0.60,0.62,2.64
H7115,Memorial Hermann Health System,Memorial Hermann Health Plan,14748,3.5,3.8,3.0,7.2,0.9,0.13,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.1,0.0,0.15,0.00,3.35
R7220,Humana Inc.,Humana,3013,2.5,3.4,2.6,3.1,0.9,0.30,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.2,1.7,0.39,0.54,2.82
H4733,Community Health Group,Community Health Group,9901,3.5,3.8,2.7,4.8,0.8,0.16,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.7,2.1,0.14,0.45,3.40
H5386,Sharp Healthcare,Sharp Health Plan,19572,3.5,3.9,3.3,9.5,0.8,0.08,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,0.0,4.2,0.00,0.45,3.49
H6322,McLaren Health Care Corporation,McLaren Medicare,2416,3,3.2,2.4,2.5,0.8,0.33,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.8,1.0,0.33,0.42,2.81
H6813,"Devoted Health, Inc.",Devoted Health,2911,3.5,3.1,3.4,1.4,0.8,0.58,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.9,1.0,0.63,0.74,3.21
H3810,"AllCare Health, Inc.",AllCare Advantage,2436,2.5,3.3,2.0,2.5,0.7,0.27,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.6,0.9,0.24,0.34,2.54
H3811,"Samaritan Health Services, Inc.",Samaritan Advantage Health Plans,1420,3,2.9,2.9,1.5,0.7,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.8,1.0,0.50,0.65,2.89
H3814,ATRIO Health Plans,ATRIO Health Plans,2076,2,2.9,1.5,2.1,0.7,0.31,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.7,1.1,0.33,0.50,2.11
H5854,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,36755,3.5,4.0,3.3,17.9,0.7,0.04,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.4,5.7,0.19,0.32,3.59
H7605,"Devoted Health, Inc.",Devoted Health,2362,3.5,3.4,3.6,1.2,0.7,0.59,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,0.7,0.8,0.62,0.67,3.30
H9699,USAble Mutual Insurance Company,Arkansas Blue Medicare,7937,3,3.9,2.7,8.2,0.7,0.09,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.4,1.8,0.05,0.22,3.26
H1722,"Healthfirst, Inc.",Healthfirst Medicare Plan,1926,3,3.3,2.6,2.0,0.6,0.32,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.8,1.0,0.39,0.49,3.11
H5377,Humana Inc.,Humana,3512,3.5,3.6,3.3,1.7,0.6,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,0.8,0.7,0.47,0.41,3.38
H5810,"Molina Healthcare, Inc.",Molina Healthcare of California,1367,3,2.9,2.7,1.4,0.6,0.46,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,0.7,0.9,0.54,0.65,2.85
