tier,new_faller,contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources,addr_2028_musd,addr_2029plus_musd,pct_2028,pct_2029plus,wavg_2026
C,,H3864,PacificSource,PacificSource Medicare,52821,3.5,3.7,3.1,25.8,6.2,0.24,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.4,11.5,0.17,0.44,3.42
C,,H2056,CVS Health Corporation,Aetna Medicare,8029,3,2.9,2.9,8.2,4.0,0.49,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.4,5.5,0.54,0.68,2.83
C,,H8764,Montage Health,Aspire Health,8361,3,3.2,3.1,8.6,4.1,0.47,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.2,5.8,0.49,0.68,3.09
C,,H2686,"Devoted Health, Inc.",Devoted Health,10596,3.5,3.2,3.8,5.2,4.0,0.78,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.1,4.6,0.78,0.89,3.42
C,,H8211,"UnitedHealth Group, Inc.",UnitedHealthcare,17153,3,3.7,2.3,17.6,2.9,0.17,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.1,6.6,0.24,0.37,2.97
C,,H6019,Health Plan of San Mateo,HEALTH PLAN OF SAN MATEO,8542,3,3.0,2.8,8.8,4.0,0.46,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.0,5.8,0.46,0.66,3.01
C,,H3347,"Elderplan, Inc.",Elderplan,26603,3.5,3.5,2.9,13.0,3.7,0.29,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.0,5.2,0.31,0.40,3.24
C,Y,H8181,Blue Cross Blue Shield of Nebraska,Blue Cross and Blue Shield of Nebraska,21759,3,3.8,3.1,22.4,3.5,0.15,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,4.0,3.5,0.18,0.15,3.22
C,,H2168,"Village Care of New York, Inc.",VillageCareMAX,10919,3.5,3.2,3.7,5.3,3.8,0.70,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.9,4.0,0.74,0.75,3.56
C,,H5410,Health Care Service Corporation,Cigna HealthCare,16030,3.5,3.4,3.2,7.8,3.4,0.43,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.9,4.4,0.50,0.56,3.45
C,,H0571,Chinese Hospital Association,CCHP (Chinese Community Health Plan),5756,3,2.5,3.2,5.9,3.8,0.64,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.8,4.5,0.65,0.77,2.96
C,,H5273,"Point32Health, Inc.",CarePartners of Connecticut,11059,3.5,3.3,3.7,5.4,3.7,0.68,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.8,4.5,0.70,0.83,3.43
C,,H0321,"UnitedHealth Group, Inc.",UnitedHealthcare,70442,3.5,4.0,2.8,34.3,0.0,0.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.8,0.0,0.11,0.00,3.33
C,,H9525,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,93167,3.5,4.0,2.9,45.4,0.0,0.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.8,5.8,0.08,0.13,3.60
C,,H5087,Centene Corporation,Wellcare,13417,3.5,3.1,3.1,6.5,3.2,0.49,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.7,4.1,0.57,0.63,3.24
C,,H5587,Blue Cross Blue Shield of Arizona,Blue Cross Blue Shield of Arizona Health Choice,8642,3.5,2.8,3.8,4.2,3.7,0.87,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.6,3.8,0.87,0.91,3.38
C,Y,H9096,Medica Holding Company,Dean Advantage,11533,3.5,3.7,3.9,5.6,3.7,0.66,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,3.6,4.9,0.64,0.87,3.69
C,,H3748,CVS Health Corporation,Aetna Medicare,4436,3,3.1,3.6,4.6,3.2,0.71,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.5,3.9,0.76,0.85,3.32
C,Y,H8189,Centene Corporation,Wellcare by Allwell,12953,3.5,3.3,3.3,6.3,3.1,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,3.5,3.5,0.55,0.56,3.20
C,,H1914,Centene Corporation,Wellcare,11263,3.5,2.9,3.1,5.5,3.0,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.5,4.0,0.64,0.72,3.25
C,,H4544,"UnitedHealth Group, Inc.",Peoples Health,8883,2.5,3.3,2.4,9.1,2.8,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.5,4.4,0.38,0.48,2.70
C,,H5361,"Independence Health Group, Inc.",AmeriHealth,7602,2.5,2.9,2.4,7.8,3.2,0.41,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.4,4.4,0.43,0.56,2.68
C,,H0913,Centene Corporation,Wellcare,13173,3.5,3.2,3.0,6.4,2.9,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.4,3.5,0.53,0.55,3.24
C,,H5854,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,36755,3.5,4.0,3.3,17.9,0.7,0.04,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.4,5.7,0.19,0.32,3.59
C,,H6018,"Devoted Health, Inc.",Devoted Health,8244,3.5,2.7,3.7,4.0,3.2,0.79,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.3,3.3,0.82,0.82,3.15
C,,H8597,CVS Health Corporation,Aetna Medicare,14486,3.5,3.4,3.2,7.1,2.9,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.3,2.7,0.47,0.38,3.20
C,,H2819,California Physicians' Service,Blue Shield of California,14956,3.5,3.6,3.4,7.3,2.8,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.3,5.4,0.45,0.73,3.50
C,,H2737,"Baystate Health, Inc.",Health New England Medicare Advantage Plans,4919,2.5,2.8,3.2,5.1,3.1,0.62,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.2,4.0,0.64,0.78,2.85
C,,H6876,"Zing Health Consolidator, Inc",Zing Health,6199,3,2.7,2.6,6.4,3.0,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.2,1.2,0.50,0.19,2.67
C,,H4704,"Elevance Health, Inc.",Anthem Blue Cross Life and Health Insurance Compan,8227,2.5,3.1,1.9,8.5,2.6,0.31,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.1,4.5,0.37,0.53,2.50
C,,H8854,"CareFirst, Inc.",CareFirst BlueCross BlueShield Medicare Advantage,8387,3,3.3,2.5,8.6,2.8,0.32,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.0,3.4,0.35,0.39,2.87
C,,H1423,"Elevance Health, Inc.",Wellpoint,3956,3,2.7,3.3,4.1,2.7,0.67,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.0,3.3,0.72,0.80,3.16
C,,H3240,"Elevance Health, Inc.",Wellpoint,14405,3,3.8,2.5,14.8,1.9,0.13,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,3.0,2.7,0.20,0.18,3.16
C,,H4045,SANTA CLARA COUNTY HEALTH AUTHORITY,Santa Clara Family Health Plan,11853,3.5,3.2,3.1,5.8,2.9,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.9,3.8,0.50,0.66,3.32
C,,H5859,"CareOregon, Inc.",CareOregon Advantage,13288,3.5,3.3,3.2,6.5,2.9,0.46,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.9,4.5,0.45,0.69,3.25
C,,H2486,Humana Inc.,Humana,4123,3,3.0,3.5,4.2,2.7,0.65,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.9,2.8,0.70,0.68,3.21
C,,H5843,Banner Health,Banner Medicare Advantage,7436,3.5,3.0,3.6,3.6,2.7,0.74,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,3.0,0.78,0.84,3.33
C,,H4623,Humana Inc.,Humana,11052,3.5,3.5,3.4,5.4,2.3,0.42,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,3.3,0.51,0.62,3.33
C,,H7284,Humana Inc.,Humana,11709,3.5,3.5,3.3,5.7,2.2,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,2.4,0.49,0.41,3.42
C,,H1112,Centene Corporation,Wellcare,27133,3.5,3.8,2.8,13.2,1.5,0.12,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,0.0,0.21,0.00,3.52
C,,H0432,"UnitedHealth Group, Inc.",UnitedHealthcare,55509,3.5,4.0,3.1,27.1,0.0,0.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.8,0.0,0.10,0.00,3.54
C,,H9706,Health Care Service Corporation,Blue Cross and Blue Shield of Texas,6144,2.5,3.1,2.7,6.3,2.7,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.7,3.2,0.43,0.51,2.70
C,,H9231,"Devoted Health, Inc.",Devoted Health,7658,3.5,2.9,3.4,3.7,2.5,0.66,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.6,2.5,0.71,0.69,3.17
C,Y,H7149,CVS Health Corporation,Aetna Medicare,9347,3.5,3.5,3.5,4.6,2.2,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,2.5,1.9,0.55,0.41,3.27
C,,H2117,Centene Corporation,Wellcare,5247,3,3.1,2.6,5.4,2.1,0.40,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.5,3.0,0.47,0.55,2.97
C,,H6348,Centene Corporation,Wellcare By Allwell,6373,3,3.4,2.7,6.5,2.0,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.5,1.3,0.39,0.20,3.10
C,Y,H1994,"Intermountain Health Care, Inc.",Select Health,66554,3.5,3.8,3.6,32.4,9.0,0.28,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,2.4,9.7,0.07,0.30,3.63
C,,H3890,Johns Hopkins Healthcare LLC,Johns Hopkins Advantage MD,6849,3,3.5,3.1,7.0,2.4,0.34,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.4,3.6,0.34,0.52,3.25
C,,H0712,Centene Corporation,Wellcare,7196,3.5,3.1,3.5,3.5,2.2,0.64,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.4,2.7,0.70,0.77,3.36
C,,H1664,Centene Corporation,Wellcare By Allwell,4067,3,2.8,2.8,4.2,2.0,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.4,2.3,0.56,0.54,2.84
C,,H6399,CVS Health Corporation,Aetna Better Health of New Jersey,7170,3,3.5,2.5,7.4,1.9,0.26,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.4,3.0,0.32,0.41,3.11
C,,H9207,Thomas Jefferson University,Jefferson Health Plans,25870,3.5,3.8,3.2,12.6,2.9,0.23,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,4.5,0.19,0.36,3.38
C,,H6851,"BMC Health System, Inc.",WellSense Health Plan,4271,3,3.0,3.0,4.4,2.2,0.51,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,2.8,0.53,0.64,3.17
C,,H5989,"Healthfirst, Inc.",Healthfirst Medicare Plan,13716,3.5,3.6,3.0,6.7,1.8,0.28,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,3.4,0.34,0.50,3.46
C,,H9888,"Devoted Health, Inc.",Devoted Health,15557,3.5,3.7,3.1,7.6,1.8,0.24,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,1.2,0.30,0.16,3.58
C,,H2915,Centene Corporation,Wellcare By Allwell,14783,3.5,3.7,3.1,7.2,1.6,0.22,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.3,1.1,0.32,0.15,3.40
C,Y,H3928,CVS Health Corporation,Aetna Medicare,4929,3,3.4,3.0,5.1,2.0,0.39,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,2.2,1.7,0.43,0.33,2.89
C,Y,H8385,Sanford Health,Align powered by Sanford Health Plan,9033,3.5,3.8,3.7,4.4,1.7,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,2.2,0.0,0.49,0.00,3.63
C,,H7464,"UnitedHealth Group, Inc.",UnitedHealthcare,16920,3.5,3.8,2.8,8.2,1.3,0.16,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.1,3.6,0.25,0.44,3.33
C,,H2593,"Elevance Health, Inc.",Wellpoint,13319,3.5,3.7,2.5,6.5,1.1,0.17,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.1,3.3,0.32,0.51,3.28
C,,H3080,"Devoted Health, Inc.",Devoted Health,9640,3.5,3.6,3.4,4.7,1.8,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.0,0.0,0.43,0.00,3.43
C,,H0907,"Elevance Health, Inc.",Wellpoint,4260,3,3.2,2.8,4.4,1.7,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.0,1.9,0.46,0.44,2.91
C,,H1607,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,8192,3.5,3.7,3.5,4.0,1.5,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,2.0,2.7,0.51,0.67,3.68
C,,H3499,Centene Corporation,Wellcare By Allwell,4065,3,3.3,2.8,4.2,1.6,0.37,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.9,1.9,0.44,0.44,3.08
C,,H2174,Centene Corporation,Wellcare By Trillium,4460,3,3.3,2.5,4.6,1.5,0.33,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.9,2.6,0.42,0.57,2.83
C,,H2463,Humana Inc.,Humana,4384,3,3.5,3.0,4.5,1.4,0.32,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.9,1.9,0.43,0.43,3.12
C,,H4909,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,10970,3.5,3.6,2.9,5.3,1.4,0.25,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.9,2.6,0.36,0.49,3.32
C,Y,H0473,Humana Inc.,Humana,16295,3.5,3.8,2.8,7.9,1.2,0.15,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,1.9,1.7,0.24,0.21,3.30
C,,H7518,Centene Corporation,Wellcare,3402,3,2.7,2.7,3.5,1.8,0.52,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.8,1.4,0.52,0.39,2.82
C,,H3975,Centene Corporation,Wellcare,3810,3,3.2,2.7,3.9,1.5,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.8,1.5,0.46,0.39,2.94
C,,H4346,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,6932,3.5,3.1,2.9,3.4,1.5,0.45,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.8,2.1,0.52,0.61,3.27
C,,R3444,"UnitedHealth Group, Inc.",UnitedHealthcare,4954,3,3.6,2.7,5.1,1.3,0.26,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.8,2.3,0.35,0.44,3.21
C,,H4869,Gold Kidney Health Plan,Gold Kidney Health Plan,4844,3,3.3,2.6,5.0,1.8,0.35,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.7,1.8,0.34,0.36,2.95
C,,H5209,"Molina Healthcare, Inc.",My Choice Wisconsin,2671,3,2.9,3.2,2.7,1.5,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.7,2.0,0.62,0.74,3.12
C,,H4835,CVS Health Corporation,Aetna Medicare,3608,3,3.4,3.0,3.7,1.4,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.7,2.1,0.45,0.56,3.15
C,,R1532,Humana Inc.,Humana,3822,2.5,3.2,2.6,3.9,1.4,0.36,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.7,1.6,0.44,0.42,2.70
C,,H1395,Centene Corporation,Wellcare,2686,3,2.9,2.8,2.8,1.3,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.6,1.6,0.56,0.56,2.85
C,,H5422,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,14459,3.5,3.8,2.6,7.0,1.0,0.14,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.6,0.0,0.22,0.00,3.16
C,,H9306,"LifeBridge Health, Inc.",Alterwood Advantage,13670,3.5,3.8,2.6,6.7,1.0,0.14,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.6,1.7,0.23,0.25,3.23
C,,H5580,Mercy Care,Mercy Care Advantage,10852,3,3.6,2.3,11.2,2.0,0.18,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,3.7,0.14,0.33,3.08
C,,H1225,Johns Hopkins Healthcare LLC,Johns Hopkins Advantage MD,7639,3.5,3.6,3.4,3.7,1.5,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,2.4,0.40,0.64,3.54
C,,H5991,"EmblemHealth, Inc.",EmblemHealth,2366,3,2.7,2.9,2.4,1.4,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,1.7,0.62,0.71,2.92
C,,H1215,Centene Corporation,Wellcare,3021,3,3.3,3.1,3.1,1.3,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,1.6,0.48,0.53,3.17
C,,H4073,Centene Corporation,Wellcare,6500,3.5,3.3,2.9,3.2,1.2,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.5,1.1,0.48,0.35,3.21
C,,H1894,"Elevance Health, Inc.",Wellpoint,2322,3,2.6,2.7,2.4,1.2,0.51,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.4,1.5,0.59,0.63,2.78
C,,H2836,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,2508,3,3.2,3.1,2.6,1.2,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.4,1.8,0.55,0.68,3.06
C,,H5928,California Physicians' Service,Blue Shield of California,7880,3.5,3.6,3.2,3.8,1.2,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.4,2.0,0.37,0.53,3.54
C,,H9730,Centene Corporation,Wellcare,36253,3.5,4.0,2.8,17.7,0.0,0.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.4,0.0,0.08,0.00,3.49
C,,H0034,"Hamaspik of Rockland County, Inc.","Hamaspik, Inc.",2153,3,2.7,3.1,2.2,1.3,0.58,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.3,0.60,0.60,3.14
C,,H6545,"Devoted Health, Inc.",Devoted Health,2585,3.5,2.7,4.4,1.3,1.3,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.3,1.00,1.00,3.32
C,,H7199,"Devoted Health, Inc.",Devoted Health,2598,3.5,2.6,4.4,1.3,1.3,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.3,1.00,1.00,3.36
C,,H0111,Centene Corporation,Wellcare,5977,3.5,3.3,2.9,2.9,1.1,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.5,0.46,0.53,3.31
C,,H6550,Centene Corporation,Wellcare By Allwell,2209,3,2.9,2.8,2.3,1.1,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,0.9,0.55,0.41,2.96
C,,R5361,Humana Inc.,Humana,5530,3,3.9,3.0,5.7,0.6,0.10,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.3,1.1,0.23,0.20,3.32
C,,H1360,"UnitedHealth Group, Inc.",UnitedHealthcare,2404,3,3.3,2.9,2.5,1.0,0.40,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.2,1.0,0.47,0.40,3.07
C,,R7220,Humana Inc.,Humana,3013,2.5,3.4,2.6,3.1,0.9,0.30,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.2,1.7,0.39,0.54,2.82
C,,H7115,Memorial Hermann Health System,Memorial Hermann Health Plan,14748,3.5,3.8,3.0,7.2,0.9,0.13,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.1,0.0,0.15,0.00,3.35
C,Y,H8379,Corewell Health,Priority Health Medicare,8685,3.5,3.8,3.1,4.2,0.6,0.15,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,1.1,0.7,0.26,0.16,3.35
C,,H5008,"UnitedHealth Group, Inc.",UnitedHealthcare,58534,3.5,4.1,2.7,28.5,0.0,0.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.1,0.0,0.04,0.00,3.37
C,,H5608,Denver Health and Hospital Authority,Elevate Medicare Advantage,5080,3.5,3.7,3.5,2.5,1.0,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.0,1.6,0.40,0.62,3.54
C,,H6847,Mass General Brigham Incorporated,Mass General Brigham Health Plan,2062,3.5,3.1,4.2,1.0,1.0,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.0,1.0,1.00,1.00,3.66
C,,H5965,Centene Corporation,Wellcare,1598,2.5,2.3,2.5,1.6,0.9,0.54,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,1.0,1.0,0.60,0.62,2.64
